Full_Name,Country,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission
Iaquinta Al,USA,0.0,7.0,1.0,1.0,3.0
Iaquinta Guido,USA,0.0,0.0,0.0,0.0,1.0
Iba Conrad,USA,0.0,0.0,0.0,0.0,1.0
Ibarra David,USA,0.0,0.0,1.0,0.0,0.0
Ibba Alessio,USA,0.0,0.0,0.0,0.0,1.0
Iberico David,PER,0.0,0.0,0.0,0.0,0.0
Iberico Ivan,PER,0.0,0.0,0.0,0.0,0.0
Iboyan Radik,PER,0.0,0.0,2.0,0.0,1.0
Ibragimkhalilov Elkhan,PER,0.0,0.0,0.0,0.0,1.0
Ibragimov Bakhodir,PER,0.0,0.0,1.0,0.0,0.0
Ibragimov Dzhamil,PER,0.0,0.0,0.0,0.0,1.0
Ibragimov Gadjimurat,RUS,0.0,0.0,1.0,0.0,0.0
Ibragimov Ibragim,RUS,0.0,1.0,1.0,1.0,0.0
Ibragimov Kamalchan,RUS,0.0,0.0,0.0,0.0,1.0
Ibragimov Khadis,RUS,0.0,2.0,1.0,3.0,1.0
Ibragimov Kurban,RUS,0.0,0.0,0.0,0.0,0.0
Ibragimov Magomed,RUS,0.0,0.0,0.0,0.0,1.0
Ibragimov Ruslan,RUS,0.0,0.0,0.0,0.0,1.0
Ibragimova Daria,RUS,0.0,1.0,1.0,7.0,1.0
Ibrahim Ahmad,RUS,0.0,0.0,1.0,0.0,2.0
Ibrahim Ali,RUS,0.0,0.0,0.0,0.0,1.0
Ibrahim Ferid,RUS,0.0,0.0,0.0,0.0,0.0
Ibrahim Hazem,RUS,0.0,0.0,2.0,0.0,0.0
Ibrahim Ibrahim,RUS,0.0,0.0,1.0,0.0,0.0
Ibrahim Karam,RUS,0.0,0.0,1.0,0.0,0.0
Ibrahim Rioo,SWE,0.0,0.0,0.0,1.0,0.0
Ibraimov Ryskulbek,SWE,0.0,1.0,0.0,0.0,1.0
Ichelson Al,SWE,0.0,0.0,1.0,0.0,0.0
Ichihara Minoki,SWE,0.0,0.0,0.0,0.0,1.0
Ichii Mai,JPN,0.0,0.0,0.0,0.0,0.0
Ichijo Takahiro,JPN,0.0,0.0,1.0,0.0,0.0
Ichikawa Masayoshi,JPN,0.0,0.0,0.0,0.0,1.0
Ichikawa Nana,JPN,0.0,0.0,0.0,0.0,1.0
Ichikawa Naoto,JPN,0.0,0.0,0.0,1.0,0.0
Icoaraci Rodrigo,BRA,0.0,0.0,2.0,0.0,0.0
Ida Satoru,BRA,0.0,0.0,0.0,0.0,0.0
Ide Thomas,BRA,0.0,0.0,0.0,0.0,1.0
Ideta Yoshitaka,JPN,0.0,0.0,1.0,0.0,0.0
Idilio Idilio,BRA,0.0,0.0,0.0,0.0,1.0
Idleburg Theo,BRA,0.0,0.0,1.0,0.0,0.0
Idrisov Magomed,RUS,0.0,3.0,1.0,0.0,1.0
Idrissi Abdelghani,FRA,0.0,0.0,0.0,0.0,0.0
Ielo Page Stephanie,FRA,0.0,1.0,0.0,0.0,1.0
Iezaki Akira,JPN,0.0,0.0,1.0,0.0,0.0
Ifekandu Emeka,USA,0.0,3.0,1.0,0.0,1.0
Igarashi Ryosuke,USA,0.0,0.0,1.0,0.0,0.0
Ige Dan,USA,0.0,4.0,0.0,5.0,0.0
Igenho Michel,BRA,0.0,0.0,3.0,0.0,1.0
Igiagbor Anestis,GRE,0.0,0.0,0.0,0.0,0.0
Iglesias Alan,GRE,0.0,0.0,0.0,0.0,1.0
Iglesias Joel,GRE,0.0,0.0,2.0,0.0,0.0
Igli Reda,GRE,0.0,0.0,1.0,0.0,0.0
Ignacio Anthony,ARU,0.0,0.0,1.0,0.0,0.0
Ignacz Melitta,ARU,0.0,0.0,1.0,0.0,0.0
Ignaczak Mickael,ARU,0.0,0.0,1.0,0.0,1.0
Ignatiev Evgeniy,ARU,1.0,0.0,0.0,0.0,0.0
Ignatov Sergey,ARU,0.0,0.0,0.0,0.0,1.0
Ignatov Valeri,ARU,0.0,0.0,1.0,0.0,0.0
Ignjatovic Marko,ARU,0.0,0.0,0.0,0.0,1.0
Igor Maurice,ARU,0.0,0.0,1.0,0.0,0.0
Igrc Marko,CRO,1.0,0.0,2.0,0.0,0.0
Iguchi Setsu,CRO,0.0,0.0,2.0,0.0,0.0
Iha Fabiano,CRO,0.0,1.0,3.0,3.0,0.0
Ihiekwe Uche,CRO,0.0,0.0,1.0,0.0,1.0
Iida Masayuki,JPN,0.0,0.0,0.0,0.0,1.0
Iida Takahito,JPN,0.0,0.0,0.0,0.0,1.0
Iijima Shigeki,JPN,0.0,0.0,1.0,0.0,0.0
Iijima Takayuki,JPN,0.0,2.0,2.0,0.0,2.0
Iino Tateo,JPN,0.0,0.0,0.0,0.0,1.0
Iio Keichi,JPN,0.0,0.0,1.0,0.0,0.0
Ijima Hiroaki,JPN,0.0,0.0,1.0,0.0,0.0
Ikan Jaouad,JPN,0.0,0.0,0.0,0.0,1.0
Ikebunna Obinwa,JPN,0.0,0.0,1.0,0.0,0.0
Ikeda Senzo,JPN,0.0,3.0,2.0,2.0,0.0
Ikeda Yoshinori,JPN,0.0,0.0,0.0,0.0,1.0
Ikemoto Seichi,JPN,0.0,0.0,1.0,1.0,2.0
Ikenishi Yusuke,JPN,0.0,0.0,1.0,0.0,0.0
Ikoma Junji,JPN,0.0,0.0,0.0,0.0,0.0
Il Sang,JPN,1.0,0.0,0.0,0.0,0.0
Ilaev Marat,RUS,0.0,0.0,0.0,0.0,1.0
Ileiwi Ali,RUS,0.0,0.0,1.0,0.0,0.0
Iles Rhys,RUS,0.0,0.0,1.0,0.0,0.0
Ilgin Ulas,RUS,0.0,0.0,0.0,0.0,2.0
Ilic Aleksandar,RUS,0.0,2.0,1.0,0.0,0.0
Ilic Dorian,CRO,0.0,0.0,0.0,0.0,1.0
Ilijas Jasmin,CRO,0.0,0.0,0.0,0.0,0.0
Illeman Kurt,CRO,0.0,1.0,1.0,0.0,0.0
Illescas Diego,MEX,0.0,0.0,1.0,0.0,0.0
