Full_Name,Country,Wins,Loses,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission
Ka Chaban,FRA,2,4,1,1,3,1,0
Kaahanui David,FRA,0,1,0,0,1,0,0
Kaase Patrick,FRA,0,0,0,0,0,0,0
Kabali Mikado,FRA,0,1,0,0,1,0,0
Kabaliya Zviad,FRA,0,1,0,0,1,0,0
Kabargin Mikhail,FRA,0,1,0,0,0,0,0
Kabdulin Ruslan,FRA,0,1,0,0,0,0,1
Kabesa Igeu,RSA,2,1,0,0,0,0,1
Kabulu Francois,RSA,0,1,0,0,0,0,0
Kachan Vasiliy,RSA,0,1,0,0,0,0,1
Kaczmarkiewicz Piotr,RSA,0,1,0,0,1,0,0
Kadam Priyanka,RSA,0,1,0,0,0,0,1
Kadestam Zebaztian,SWE,,,,,,1,2
Kadian Puja,SWE,0,1,0,0,0,0,1
Kading John,SWE,0,1,0,0,1,0,0
Kadir Eskendir,SWE,0,0,1,0,0,0,0
Kadlubek Artur,SWE,0,2,0,0,1,0,0
Kadowaki Hideki,SWE,2,6,0,0,3,0,2
Kadri Kadir,SWE,0,1,0,0,1,0,0
Kadu Diogo,BRA,0,1,0,0,1,0,0
Kadunc Sanjin,BRA,0,1,0,0,1,0,0
Kadyzhev Nazir,RUS,0,2,0,0,2,0,0
Kaecher Don,RUS,0,1,0,0,0,0,1
Kaeshov Andrei,LAT,0,1,0,0,0,0,1
Kaewkhong Watsapinya,LAT,0,1,0,0,0,0,1
Kafer John,USA,0,2,0,0,1,0,1
Kafo Shabe,AUS,0,1,0,0,0,0,1
Kagan Emily,USA,3,3,0,0,0,0,2
Kagawa Marcos,BRA,0,1,0,0,0,0,1
Kagiyama Yusuke,BRA,1,1,1,0,0,0,1
Kagramalyan Nver,BRA,0,1,0,0,0,0,1
Kahihikolo Tyler,BRA,0,8,0,0,2,0,0
Kahler Codie,BRA,0,2,0,0,1,0,1
Kahlon Oron,USA,,,,6,0,9,1
Kahn Justin,USA,0,1,0,0,0,0,1
Kahrovic Sead,GER,0,3,0,0,3,0,0
Kaibov Koroglu,GER,0,1,0,0,0,0,1
Kairanov Shyngys,KAZ,1,1,0,0,0,0,0
Kaiser Brandon,KAZ,0,0,0,0,0,0,0
Kaiser Marcus,KAZ,0,1,0,0,1,0,0
Kaitiana Ray,NZL,0,1,0,0,1,0,0
Kaitz Moshe,NZL,1,1,0,0,0,0,0
Kajaia Nikoloz,GEO,0,1,0,0,0,0,1
Kajic Dejan,GEO,0,2,0,0,0,0,0
Kajikawa Taku,JPN,0,2,0,0,0,0,0
Kajita Takahiro,JPN,1,0,0,0,0,0,0
Kakai Sirwan,SWE,,,,4,0,6,1
Kakar Ahmad,CAN,0,1,0,0,1,0,0
Kakar Atal,AUS,0,2,0,0,0,0,2
Kakhiani Alexandr,AUS,0,1,0,0,1,0,0
Kakhorov Khurshed,AUS,8,0,0,6,0,0,0
Kakhramonov Saidyokub,USA,9,2,0,3,1,4,0
Kaki Juha,USA,0,1,0,0,0,0,0
Kako Toshiki,USA,1,0,0,0,0,0,0
Kaku Kaynan,USA,0,1,0,0,1,0,0
Kakuta Naritoshi,USA,0,1,0,0,1,0,0
Kalabekov Maratbek,USA,1,2,0,0,0,1,0
Kalai Eddey,USA,0,1,0,0,0,0,1
Kalama Kaipo,USA,0,2,0,0,0,0,1
Kalamov Murad,RUS,,,,0,1,7,0
Kalandarov Asalbek,RUS,0,1,0,0,1,0,0
Kalani Anthony,USA,5,1,0,3,1,1,0
Kalani Tony,USA,0,1,0,0,1,0,0
Kalashnikov Andrey,USA,0,1,0,0,0,0,1
Kalauni Justine,USA,0,1,0,0,0,0,1
Kaldar Nurgazy,USA,0,0,0,0,0,0,0
Kaledaite Inga,USA,0,2,0,0,2,0,0
Kalejaiye Olutubi Ayodeji,USA,0,2,0,0,1,0,1
Kalenik Piotr,POL,0,1,0,0,0,0,0
Kalicinski Maciej,POL,0,1,0,0,0,0,0
Kalieva Roza,POL,0,1,0,0,0,0,1
Kalikas Greg,POL,,,,,,,
Kalikhman Dmitry,POL,0,1,0,0,0,0,1
Kalimetov Murad,POL,0,1,0,0,0,0,0
Kalimic Gordon,POL,0,1,0,0,0,0,1
Kalina Valeriya,POL,0,1,0,0,0,0,1
Kalinin Sergey,RUS,0,2,0,0,1,0,0
Kalista Ty,RUS,0,1,0,0,0,0,1
Kalistartov Alexei,RUS,0,1,0,0,0,0,1
Kaliverda Aleksey,RUS,0,1,0,0,0,0,1
Kaljevic Peter,RUS,0,3,0,0,1,0,2
Kallionidou Elina,GRE,8,4,0,4,0,2,0
Kalmakoff Bobby,CAN,0,3,0,0,2,0,1
Kalman Geza,CAN,1,2,0,1,2,0,0
Kalmynin Yury,CAN,0,2,0,0,0,0,2
Kalpakidou Dora,CAN,0,1,0,0,1,0,0
Kalseth Erik,CAN,0,1,0,0,0,0,1
Kalucz Martin,CAN,0,1,0,0,0,0,0
Kalyniuk Ruslan,GER,0,1,0,0,1,0,0
Kalynyuk Vitaly,GER,0,2,0,0,0,0,2
Kam Mark,GER,0,1,0,0,0,0,1
Kamaka Brennan,GER,0,1,0,0,0,0,1
Kamaka Bryson,GER,1,4,0,1,4,0,0
Kamaka Bryson,GER,0,2,0,0,2,0,0
Kamaka Kai,GER,0,1,0,0,0,0,1
Kamaka Zane,USA,,,,5,1,4,2
Kamaka III Kai,USA,9,4,1,0,2,1,0
Kamal Beik Sammin,ITA,0,1,0,0,1,0,0
Kamali Reza,ITA,0,1,0,0,0,0,1
Kamaly Walaa Abas Mohamed,ITA,0,3,0,0,0,0,2
Kamamyan Zubair,ITA,0,1,0,0,1,0,0
Kamara Abdul,ITA,0,1,0,0,1,0,0
Kamavov Dinislam,RUS,0,0,1,0,0,0,0
Kamaya Makoto,JPN,0,5,0,0,0,0,2
Kamble Bhupesh,JPN,0,1,0,0,0,0,1
Kamchybekov Zulkarnaiyn,JPN,0,1,0,0,0,0,0
Kameda Masashi,JPN,1,1,1,0,1,0,0
Kamery Bill,USA,0,5,0,0,2,0,3
Kamienczyk Tomasz,USA,0,1,0,0,1,0,0
Kamijo Junichiro,USA,,,,,,,
Kamikase Kamikase,BRA,0,1,0,0,1,0,0
Kamikaze Yukimi,BRA,0,1,0,0,0,0,1
Kamikozono Takuhiro,BRA,0,1,0,0,0,0,0
Kamikubo Shuya,BRA,,,,3,0,3,0
Kamilov Khadzhimurat,BRA,0,1,0,0,0,0,1
Kamilov Murad,BRA,1,1,0,0,1,0,0
Kaminishi Cristiano,JPN,8,3,0,4,1,2,0
Kaminski Piotr,JPN,0,2,0,0,0,0,0
Kaminski Roman,UKR,0,1,0,0,0,0,1
Kaminski Victor,CAN,0,1,0,0,0,0,1
Kamiya Isao,CAN,0,1,0,0,0,0,1
Kamla Surarak,THA,0,1,0,0,1,0,0
Kamoldinov Islam,THA,0,1,0,0,1,0,0
Kamoun Laurent,THA,0,1,0,0,0,0,1
Kampmann Martin,DEN,,,,8,5,7,0
Kanaeda Yusuke,DEN,0,1,0,0,0,0,0
Kanai Ichiro,DEN,0,2,1,0,0,0,0
Kanaley Kris,DEN,0,0,1,0,0,0,0
Kanayama Yasuhiro,DEN,0,3,1,0,0,0,2
Kanazawa Isamu,DEN,0,1,0,0,1,0,0
Kanda Shuichi,DEN,0,2,0,0,0,0,0
Kandare Bharat,IND,5,3,0,2,0,3,3
Kandji Bathi,IND,0,1,0,0,1,0,0
Kane Oumar,IND,3,1,0,3,1,0,0
Kanehara Hiromitsu,IND,,,,1,4,0,3
Kanehara Masanori,JPN,,,,9,5,,
Kanehara Yasunori,JPN,0,1,0,0,0,0,1
Kaneko Ken,JPN,0,2,0,0,0,0,2
Kaneko Yuta,JPN,1,1,0,1,1,0,0
Kanekoa Keali'i,USA,0,1,0,0,0,0,1
Kaneshiro Eben,USA,0,6,0,0,4,0,1
Kaneuchi Yuya,USA,0,1,1,0,0,0,0
Kaneya Eri,USA,0,0,1,0,0,0,0
Kang Denis,CAN,,,,,,,
Kang Dong Gook,CAN,0,2,0,0,1,0,0
Kang Hee Eun,CAN,0,1,0,0,0,0,1
Kang Ji Won,CAN,5,1,0,5,0,0,1
Kang Jie Zhu,CAN,1,0,0,0,0,0,0
Kang Jung Min,CAN,0,4,0,0,0,0,4
Kang Kyung Ho,SKO,,,,2,1,,
Kang Soo Min,SKO,0,1,0,0,1,0,0
Kang Woo Gyu,SKO,0,1,0,0,1,0,0
Kanguichev Mickael,FRA,1,3,0,0,0,0,2
Kanguichiev Tchabrael,FRA,0,1,0,0,1,0,0
Kania Patryk,FRA,0,1,0,0,0,0,1
Kankaanpaa Katja,FIN,,,,1,0,4,1
Kano Ryosuke,JPN,0,1,0,0,0,0,1
Kanomata Tomonari,JPN,0,4,0,0,3,0,0
Kantaev Ibragim,RUS,0,1,0,0,0,0,0
Kantar Igor,RUS,0,1,0,0,1,0,0
Kantemir Kvanzhakov,RUS,0,1,0,0,1,0,0
Kanuka Tomoki,RUS,1,0,0,0,0,1,0
Kanukoev Ashamaz,RUS,0,1,0,0,1,0,0
Kanunnikov Vladimir,RUS,0,1,0,0,0,0,0
Kao Kings,RUS,,,,,,,
Kapchikov Nikolai,BUL,0,1,0,0,1,0,0
Kape Manel,POR,,,,,,5,2
Kapel Andrew,USA,,,,5,0,,
Kaplan David,USA,0,3,0,0,0,0,2
Kaponis Anthony,USA,0,5,0,0,1,0,3
Kapranov Roman,USA,0,3,0,0,1,0,1
Kapu Phil,USA,0,1,0,0,0,0,0
Kapylou Andrei,USA,0,1,0,0,0,0,0
Kara-France Kai,NZL,,,,,,3,3
Karabakhskiy Nidjat,NZL,0,1,0,0,0,0,1
Karadios Colby,NZL,0,1,0,0,1,0,0
Karadjov Nedyalko,NZL,0,2,0,0,2,0,0
Karaev Alan,RUS,0,1,0,0,1,0,0
Karaev Nurzhigit,RUS,0,1,0,0,0,0,0
Karageorgis Dimitris,GRE,0,1,0,0,0,0,0
Karagianis Melissa,GRE,0,2,0,0,1,0,0
Karagianis Melissa Sophia,CAN,1,2,0,0,1,0,0
Karaitiana Ray,CAN,0,1,0,0,1,0,0
Karakhanyan Georgi,USA,,,,7,3,,
Karaki Mohammad,LIB,9,1,0,3,1,5,0
Karalexis Alex,USA,4,5,0,3,3,0,2
Karam Mike,LIB,0,1,0,0,0,0,0
Karaoglu Aziz,GER,9,7,0,8,2,1,3
Karapetyan Andranik,GER,0,2,0,0,1,0,1
Karapetyan Artur,RUS,0,1,0,0,0,0,1
Karapetyan Karen,RUS,1,2,0,0,0,0,2
Karapetyan Yervand,RUS,0,1,0,0,0,0,0
Karasek Carolina,RUS,0,1,0,0,0,0,0
Karasev Andrey,RUS,0,1,0,0,1,0,0
Karasiov Vladimir,RUS,0,2,0,0,0,0,2
Karatas Erdi,NED,1,1,0,1,0,0,0
Karatas Oktay,NED,0,1,0,0,0,0,0
Karate Alex,NED,0,1,0,0,1,0,0
Karate Silvio,BRA,0,1,0,0,0,0,1
Karatsukov Ratmir,RUS,0,2,0,0,2,0,0
Karavackas Giedrius,RUS,3,0,0,1,0,2,0
Karavaev Arthur,RUS,1,2,0,0,0,0,0
Karavas Despina,RUS,0,1,0,0,1,0,0
Karazhigitov Ruslan,RUS,0,1,0,0,0,0,0
Kardanov Anzor,RUS,0,2,0,0,1,0,1
Karim Joseph,RUS,0,1,0,0,1,0,0
Karim Mohamed Abdel,RUS,0,1,0,0,1,0,0
Karim Shaheen Uloomi,RUS,0,1,0,0,0,0,0
Karimov Islam,RUS,0,2,0,0,0,0,1
Karlonas Donatas,RUS,0,1,0,0,0,0,0
Karmo Boimah,LBR,0,2,0,0,1,0,1
Karmolinski Brian,USA,0,2,0,0,2,0,0
Karnaukhov Gennady,USA,0,1,0,0,0,0,1
Karnbauer Dan,USA,0,3,0,0,1,0,1
Karney Josh,USA,0,1,0,0,0,0,1
Karoline Anne,USA,0,2,0,0,1,0,1
Karoud Lassad,USA,0,1,0,0,1,0,0
Karpachov Nikolay,LAT,0,1,0,0,1,0,0
Karpenko Juris,LAT,0,1,0,0,0,0,1
Karpov Sergey,LAT,0,1,0,0,0,0,1
Karppinen Travis,LAT,0,1,0,0,0,0,1
Karr Missy,LAT,0,1,0,0,0,0,1
Karriman Jeff,LAT,0,1,0,0,0,0,1
Karski Kacper,LAT,1,0,0,0,0,1,0
Karsky Paul,LAT,0,2,0,0,2,0,0
Karst Josh,LAT,0,1,0,0,1,0,0
Karsten Andrew,USA,0,2,0,0,1,0,1
Karttunen Timo,USA,0,1,0,0,0,0,1
Karupovic Dino,USA,0,1,0,0,0,0,1
Kasanganay Impa,USA,9,2,0,1,2,2,0
Kascheev Arthur,UKR,0,4,0,0,3,0,1
Kase Andre,UKR,0,1,0,0,1,0,0
Kashchuk Igor,UKR,0,1,0,0,0,0,1
Kaskulov Salim,UKR,0,1,0,0,1,0,0
Kasler Alexey,UKR,0,1,0,0,0,0,0
Kasniewski Lukasz,UKR,1,0,0,1,0,0,0
Kasper Daniel,UKR,0,1,0,0,0,0,1
Kasper Mikkel,DEN,0,1,0,0,0,0,0
Kassem Nadia,AUS,5,2,0,4,1,0,1
Kassimatis George,AUS,0,1,0,0,0,0,1
Kassube Missy,AUS,0,0,0,0,0,0,0
Kasteel Joop,AUS,1,2,0,1,2,0,0
Kasugai Takeshi,JPN,3,3,0,0,0,2,0
Kasumov Zaur,RUS,1,0,0,0,0,0,0
Kasuya Sakae,RUS,0,1,0,0,0,0,0
Kasuya Yusuke,JPN,9,3,2,1,1,8,1
Kaszowski Wojtek,JPN,0,3,0,0,0,0,2
Kaszuba Jan,JPN,0,1,0,0,0,0,1
Kaszubowski Krystian,POL,0,2,0,0,1,0,0
Katahira Yoshiyuki,POL,0,3,0,0,1,0,2
Katainen Vuokko,POL,0,1,1,0,0,0,0
Katanga Chris,POL,0,2,0,0,2,0,0
Kataria Pramod,POL,0,1,0,0,0,0,1
Katayama Shin,JPN,0,2,1,0,0,0,2
Katica Sadnin,JPN,0,1,0,0,0,0,1
Kato Chuji,JPN,1,0,0,0,0,1,0
Kato Hisaki,JPN,8,3,0,7,2,0,0
Kato Makoto,JPN,0,1,0,0,0,0,1
Kato Masayoshi,JPN,0,1,0,0,0,0,1
Kato Minoru,JPN,0,2,0,0,1,0,0
Kato Naoyuki,JPN,1,5,0,1,1,0,1
Kato Shin,JPN,0,1,0,0,0,0,0
Kato Tetsuji,JPN,0,2,0,0,0,0,0
Katona Brad,CAN,9,2,0,1,0,3,0
Katrunov Pavel,CAN,0,1,0,0,0,0,0
Katrunov Pavel,CAN,1,0,0,0,0,0,0
Katsas Nikos,CAN,0,1,0,0,1,0,0
Katshor Ben,CAN,0,1,0,0,0,0,1
Katsikis Kristina,CAN,1,2,0,0,1,0,0
Katsuki Yasutomo,CAN,0,1,0,0,0,0,1
Katsumura Shuichiro,CAN,1,4,0,0,2,1,1
Katsuta Tetsuo,CAN,0,1,0,0,1,0,0
Kattar Calvin,USA,,,,,,2,1
Kattz Joe,ENG,0,1,0,0,1,0,0
Katukov Alexey,ENG,0,1,0,0,1,0,0
Katyhin Vladimir,ENG,1,2,0,0,0,1,0
Katykhin Vladimir,ENG,0,1,0,0,1,0,0
Katzfey Robert,ENG,0,0,0,0,0,0,0
Kaufman Sarah,CAN,,,,,,2,3
Kaufmann Craig,CAN,0,1,0,0,0,0,0
Kauppila Andrew,USA,0,1,0,0,1,0,0
Kauppinen Kent,ENG,,,,9,1,3,2
Kaushansky Nikolai,RUS,0,1,0,0,0,0,1
Kaushik Himanshu,IND,0,1,0,0,0,0,1
Kauwe Devin,IND,0,1,0,0,1,0,0
Kauwe Kawaika,IND,2,1,0,1,0,1,0
