Full_Name,Country,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission
Taber Lucas,USA,0.0,0.0,1.0,0.0,1.0
Tabera Daniel,ESP,2.0,0.0,2.0,3.0,0.0
Tabone Mark,ESP,0.0,0.0,1.0,0.0,0.0
Tabor Chachi,ESP,0.0,0.0,0.0,0.0,0.0
Tabor Jason,ESP,0.0,0.0,1.0,0.0,0.0
Tabora Jose,ESP,0.0,0.0,0.0,0.0,0.0
Tabosa Enila,ESP,0.0,0.0,1.0,0.0,0.0
Tabrizy Yasha,ESP,0.0,0.0,1.0,0.0,0.0
Tachaev Said Magomed,ESP,0.0,0.0,0.0,0.0,1.0
Tachihikari Osamu,ESP,0.0,0.0,0.0,0.0,1.0
Tackett Amber,ESP,0.0,0.0,0.0,0.0,2.0
Taclan Ryan,ESP,0.0,0.0,1.0,0.0,0.0
Tadeo Brian,ESP,0.0,0.0,0.0,1.0,1.0
Tadeu Eugenio,ESP,0.0,0.0,1.0,0.0,0.0
Tadevosyan Vahe,ESP,0.0,0.0,0.0,0.0,1.0
Tadijanov Ivica,CRO,0.0,0.0,0.0,0.0,0.0
Tadzhibaev Ulugbek,CRO,0.0,0.0,0.0,0.0,1.0
Tafa Justin,AUS,0.0,5.0,1.0,0.0,0.0
Tafarel Leonel,AUS,0.0,0.0,0.0,0.0,1.0
Tagami Yohei,JPN,0.0,0.0,0.0,0.0,0.0
Tagiev Ramin,JPN,0.0,0.0,0.0,0.0,1.0
Tagirov Salembek,JPN,0.0,0.0,0.0,0.0,0.0
Tagirov Tagir,JPN,0.0,0.0,0.0,1.0,0.0
Tagirov Yunus,JPN,0.0,0.0,0.0,0.0,0.0
Tagliamonte Vincenzo,ITA,0.0,0.0,1.0,0.0,0.0
Taguchi Masakazu,ITA,0.0,0.0,1.0,0.0,0.0
Taguchi Toshihiro,JPN,0.0,0.0,1.0,0.0,0.0
Taguibao Wendal,PHI,0.0,0.0,0.0,0.0,0.0
Taha Khalid,GER,0.0,9.0,0.0,2.0,1.0
Tahara Noboru,GER,0.0,0.0,1.0,0.0,0.0
Tahiri Souhil,GER,0.0,0.0,0.0,1.0,0.0
Tahtahi Bilal,GER,0.0,0.0,2.0,0.0,0.0
Tahtinen Robert,USA,0.0,0.0,1.0,0.0,0.0
Taia Lereapii,USA,0.0,0.0,0.0,0.0,0.0
Taibl Joshua,USA,0.0,0.0,1.0,0.0,0.0
Taiete de Matos Alessandro,USA,0.0,0.0,1.0,0.0,0.0
Taigibov Arsen,UKR,0.0,0.0,0.0,0.0,1.0
Taimanglo Joe,GUM,0.0,5.0,2.0,0.0,0.0
Tainara Alessandra,BRA,0.0,0.0,1.0,0.0,0.0
Taira Shinichi,BRA,1.0,0.0,0.0,0.0,1.0
Taisacan BJ,BRA,0.0,0.0,1.0,0.0,0.0
Taise Luane,BRA,0.0,0.0,0.0,0.0,1.0
Taisumov Mairbek,RUS,0.0,0.0,0.0,9.0,1.0
Tait Cory,ENG,0.0,5.0,1.0,5.0,1.0
Taitano Jesse,ENG,2.0,0.0,2.0,0.0,0.0
Tajik Toghan Masoumeh,ENG,0.0,0.0,1.0,0.0,0.0
Tajima Naoki,ENG,0.0,0.0,0.0,0.0,0.0
Tajon Mark,USA,0.0,0.0,0.0,1.0,0.0
Takabayashi Kyoko,JPN,1.0,0.0,0.0,0.0,0.0
Takacs Alexander,JPN,0.0,0.0,0.0,0.0,0.0
Takada Hiroya,JPN,0.0,0.0,1.0,0.0,0.0
Takada Kazumichi,JPN,0.0,0.0,1.0,0.0,1.0
Takada Nobuhiko,JPN,1.0,0.0,2.0,2.0,3.0
Takada Ryuji,JPN,0.0,0.0,0.0,0.0,0.0
Takafuji Masakazu,JPN,0.0,0.0,0.0,0.0,0.0
Takagi Kenta,JPN,0.0,2.0,3.0,0.0,1.0
Takahashi Daiji,JPN,0.0,0.0,0.0,0.0,0.0
Takahashi Eri,JPN,0.0,0.0,0.0,0.0,1.0
Takahashi Hiroshi,JPN,0.0,0.0,1.0,0.0,0.0
Takahashi Hiroyuki,JPN,0.0,0.0,0.0,0.0,0.0
Takahashi Kazuo,JPN,0.0,0.0,3.0,0.0,2.0
Takahashi Kei,JPN,0.0,0.0,0.0,0.0,0.0
Takahashi Kenjiro,JPN,0.0,0.0,1.0,0.0,0.0
Takahashi Makoto,JPN,0.0,0.0,0.0,0.0,0.0
Takahashi Motomare,JPN,0.0,0.0,0.0,0.0,1.0
Takahashi Ryogo,JPN,0.0,1.0,1.0,0.0,0.0
Takahashi Shigenobu,JPN,1.0,0.0,1.0,0.0,0.0
Takahashi Shun,JPN,0.0,0.0,0.0,0.0,1.0
Takahashi Wataru,JPN,2.0,0.0,0.0,1.0,0.0
Takahashi Yoko,JPN,0.0,0.0,1.0,0.0,2.0
Takahashi Yoshiaki,JPN,2.0,0.0,1.0,0.0,0.0
Takahashi Yoshiki,JPN,0.0,0.0,3.0,0.0,0.0
Takahashi Yuki,JPN,0.0,0.0,1.0,0.0,0.0
Takahashi Yusuke,JPN,0.0,0.0,1.0,0.0,0.0
Takamori Keigo,JPN,0.0,0.0,1.0,0.0,0.0
Takamori Naoya,JPN,0.0,0.0,1.0,0.0,0.0
Takanashi Shitoku,JPN,0.0,0.0,0.0,0.0,1.0
Takano Satomi,JPN,0.0,1.0,1.0,0.0,2.0
Takano Yoshiyuki,JPN,0.0,0.0,1.0,0.0,0.0
Takano Yuki,JPN,0.0,0.0,0.0,0.0,0.0
Takao Kyle,JPN,0.0,0.0,0.0,0.0,0.0
Takaoka Naohiro,JPN,0.0,0.0,0.0,0.0,0.0
Takas Vasilis,JPN,0.0,0.0,0.0,0.0,1.0
Takase Daiju,JPN,1.0,1.0,5.0,1.0,0.0
Takashima Daiki,JPN,0.0,0.0,0.0,0.0,0.0
Takatsu Isao,JPN,0.0,0.0,1.0,0.0,0.0
Takaya Hiroyuki,JPN,0.0,7.0,4.0,0.0,0.0
Takaya Yuki,JPN,0.0,0.0,0.0,0.0,1.0
Takayama Keigo,JPN,0.0,0.0,1.0,0.0,0.0
Takayama Yoshihiro,JPN,0.0,0.0,2.0,0.0,2.0
Takeda Hisho,JPN,0.0,0.0,0.0,0.0,0.0
Takeda Koji,JPN,0.0,2.0,0.0,3.0,0.0
Takeda Masashi,JPN,0.0,0.0,1.0,0.0,0.0
Takeda Michiko,JPN,0.0,0.0,1.0,0.0,0.0
Takeda Setsuma,JPN,0.0,0.0,1.0,0.0,0.0
Takekawa Koichiro,JPN,0.0,2.0,0.0,0.0,0.0
Takenaka Daichi,JPN,0.0,1.0,0.0,1.0,0.0
Takenawa Motohiro,JPN,0.0,0.0,0.0,0.0,0.0
Takeshige Kenji,JPN,1.0,0.0,0.0,0.0,0.0
Takeshita Joao,JPN,0.0,0.0,0.0,0.0,1.0
Takeshita Kanako,JPN,0.0,0.0,0.0,0.0,0.0
Takeuchi Atsushi,JPN,1.0,0.0,0.0,0.0,0.0
Takeuchi Bill,USA,0.0,1.0,0.0,0.0,0.0
Takeuchi Izuru,USA,1.0,1.0,2.0,0.0,1.0
Takeuchi Koji,USA,1.0,0.0,0.0,0.0,0.0
Takigawa Ryo,JPN,0.0,0.0,2.0,0.0,0.0
Takimoto Makoto,JPN,0.0,0.0,1.0,1.0,1.0
Takimoto Misaki,JPN,0.0,0.0,0.0,0.0,4.0
Takino Yoshimichi,JPN,1.0,0.0,0.0,0.0,0.0
Takita Masaya,JPN,0.0,0.0,3.0,0.0,1.0
Takizawa Kenta,JPN,0.0,9.0,3.0,0.0,1.0
Taktarov Oleg,JPN,1.0,0.0,3.0,5.0,0.0
Talamantes Anton,JPN,0.0,0.0,1.0,0.0,0.0
Talamantes Ricco,JPN,0.0,0.0,0.0,0.0,1.0
Talavera Ricardo,JPN,0.0,0.0,1.0,1.0,0.0
Talavera Troy,JPN,0.0,0.0,0.0,0.0,2.0
Talbi Lamine,BEL,0.0,0.0,0.0,0.0,1.0
Taldiev Rustam,BEL,0.0,0.0,0.0,0.0,0.0
Taleb Nordine,CAN,0.0,7.0,3.0,0.0,2.0
Tales Fabiano,CAN,0.0,0.0,0.0,0.0,1.0
Talevski Borce,MKD,0.0,0.0,1.0,0.0,0.0
Talhouk Mike,MKD,0.0,0.0,0.0,0.0,1.0
Talita Talita,BRA,0.0,0.0,1.0,0.0,0.0
Tallack Rob,BRA,0.0,0.0,1.0,0.0,0.0
Talley Jeremiah,USA,0.0,0.0,1.0,0.0,0.0
Tallowin Chris,USA,0.0,0.0,1.0,0.0,0.0
Talmon Patrick,GER,0.0,0.0,1.0,0.0,0.0
Tam Len,GER,0.0,0.0,0.0,0.0,1.0
Tamada Yasuko,JPN,0.0,0.0,1.0,2.0,0.0
Tamai Keiko,JPN,0.0,0.0,0.0,0.0,5.0
Tamakairiki Tsuyoshi,JPN,0.0,0.0,1.0,0.0,0.0
Tamaki Tim,JPN,0.0,0.0,0.0,1.0,2.0
Tamaribuchi Shawn,JPN,0.0,0.0,0.0,0.0,0.0
Tamaru Takumi,JPN,0.0,1.0,1.0,0.0,0.0
Tamburrino Tony,JPN,0.0,0.0,0.0,0.0,0.0
Tamez Eli,USA,0.0,1.0,0.0,2.0,0.0
Tampos Jacob Ikaika,USA,0.0,0.0,1.0,0.0,0.0
Tampu Gabriel,GER,0.0,0.0,1.0,0.0,0.0
Tamura Akitoshi,GER,0.0,0.0,2.0,1.0,1.0
Tamura Issei,JPN,0.0,4.0,2.0,0.0,4.0
Tamura Kazuya,JPN,0.0,0.0,0.0,0.0,1.0
Tamura Kiyoshi,JPN,0.0,4.0,3.0,4.0,3.0
Tamura Takao,JPN,0.0,0.0,0.0,0.0,0.0
Tamura Yukinari,JPN,0.0,0.0,1.0,1.0,2.0
Tan Jason,JPN,0.0,0.0,2.0,0.0,0.0
Tan Raymond,JPN,0.0,0.0,0.0,0.0,0.0
Tan Tony,USA,0.0,0.0,1.0,0.0,0.0
Tan Trestle,PHI,0.0,0.0,2.0,0.0,1.0
Tanabe Soyu,JPN,0.0,0.0,0.0,1.0,0.0
Tanada Naoki,JPN,0.0,0.0,1.0,0.0,0.0
Tanaka Akihito,JPN,0.0,0.0,2.0,0.0,0.0
Tanaka Diasaku,JPN,0.0,0.0,0.0,0.0,1.0
Tanaka Hiroki,JPN,0.0,0.0,0.0,0.0,0.0
Tanaka Hiroshige,JPN,0.0,7.0,2.0,0.0,0.0
Tanaka Hiroyuki,JPN,0.0,0.0,1.0,0.0,0.0
Tanaka Kazuhisa,JPN,0.0,0.0,2.0,0.0,0.0
Tanaka Michinori,JPN,0.0,0.0,0.0,6.0,0.0
Tanaka Shinichiro,JPN,0.0,0.0,0.0,0.0,1.0
Tanaka Tatsunori,JPN,0.0,0.0,1.0,0.0,2.0
Tanaka Yasutomo,JPN,1.0,0.0,0.0,1.0,0.0
Tanaka Novaes Kinberly,BRA,0.0,3.0,0.0,0.0,1.0
Tandilashvili Giorgi,GEO,0.0,0.0,1.0,0.0,0.0
Tang Ella,MAS,0.0,0.0,1.0,0.0,0.0
Tang Jin,MAS,1.0,2.0,1.0,1.0,1.0
Tang Kai,CHN,0.0,0.0,0.0,0.0,0.0
Tangayan Jilmar,CHN,0.0,0.0,0.0,0.0,0.0
Tangiev Jakub,CHN,0.0,0.0,3.0,0.0,0.0
Tani Lucas,BRA,0.0,0.0,1.0,0.0,0.0
Tanigawa Kei,JPN,0.0,0.0,0.0,0.0,1.0
Taniguchi Tomonori,JPN,0.0,0.0,1.0,1.0,0.0
Tanimura Mitsunori,JPN,0.0,0.0,0.0,0.0,1.0
Tanios Mark,LIB,0.0,0.0,0.0,0.0,0.0
Taniyama Naomi,JPN,0.0,0.0,0.0,0.0,1.0
Tannas Graydon,JPN,0.0,0.0,0.0,0.0,0.0
Tanner Evan,USA,0.0,5.0,5.0,6.0,1.0
Tannus Ricardo,USA,0.0,0.0,0.0,0.0,0.0
Tanshyn Artem,USA,0.0,0.0,1.0,0.0,0.0
Tao Jiang,CHN,0.0,0.0,1.0,0.0,0.0
Tao Mingbo,CHN,0.0,0.0,1.0,0.0,0.0
Tao Wang Hong,CHN,0.0,0.0,1.0,0.0,0.0
Tapels Patrick,CHN,0.0,0.0,0.0,0.0,1.0
Tapia Albert,USA,0.0,2.0,0.0,0.0,2.0
Tapia Benjamin,USA,0.0,0.0,0.0,0.0,0.0
Tapia Manny,USA,0.0,1.0,2.0,0.0,0.0
Tapusoa Gary,USA,0.0,6.0,2.0,2.0,0.0
Tarabanks Michal,USA,0.0,0.0,0.0,0.0,1.0
Tarasov Maxim,USA,0.0,0.0,0.0,1.0,0.0
Tarazon Ellery,USA,0.0,0.0,1.0,0.0,0.0
Tarkhanov Mikhail,RUS,0.0,0.0,1.0,0.0,0.0
Tarnai Jozsef,HUN,0.0,0.0,0.0,0.0,0.0
Tarnavskaja Ekaterina,HUN,0.0,0.0,0.0,0.0,3.0
Tarnawski Kamil,POL,0.0,0.0,0.0,0.0,1.0
Tarns Brandon,POL,0.0,0.0,1.0,0.0,0.0
Tarrafa Odair,POL,0.0,0.0,0.0,0.0,1.0
Tarsey Adam,POL,0.0,0.0,1.0,0.0,0.0
Tarverdiev Tarverdi,RUS,0.0,0.0,0.0,0.0,0.0
Tarytsa Igor,RUS,0.0,1.0,0.0,0.0,0.0
Tashkilot Ayub,DEN,0.0,1.0,0.0,0.0,0.0
