Full_Name,Country,Wins,Loses,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission
Vaa'sa Hale,AUS,0,2,0,0,0,0,1
Vaatainen Lauri,AUS,0,1,0,0,0,0,1
Vaca Manuel,AUS,0,1,0,0,1,0,0
Vacacela Guerrero Alvaro Andres,AUS,0,2,0,0,2,0,0
Vaccaro Enrico,AUS,0,1,0,0,1,0,0
Vaccaro Ryan,AUS,0,2,0,0,1,0,0
Vaculik Richie,AUS,,,,3,2,6,0
Vader Dave,AUS,1,3,0,1,1,0,1
Vaesau Abraham,USA,6,3,0,6,1,0,2
Vafaei Alireza,USA,0,1,0,0,0,0,1
Vafiadis Nick,USA,0,1,0,0,1,0,0
Vagabov Abdulbasir,RUS,,,,7,1,4,0
Vagabov Osmanli,RUS,0,1,0,0,0,0,1
Vagabov Vagab,RUS,,,,9,0,4,0
Vagaev Abubakar,RUS,2,1,0,1,0,0,0
Vagner Luis,RUS,0,1,0,0,1,0,0
Vahaev Alihan,RUS,0,1,0,0,0,0,0
Vaicickas Tomas,RUS,0,3,0,0,3,0,0
Vaile Matt,NZL,0,1,0,0,1,0,0
Vainikainen Juha-Pekka,NZL,2,3,0,0,1,1,0
Vainikolo James,NZL,1,1,0,0,0,1,0
Vajsurov Shamil,NZL,0,1,0,0,0,0,0
Vake John,NZL,2,2,0,1,2,1,0
Vakhaev Mukhomad,RUS,7,4,1,3,2,3,1
Vakhaev Umar,RUS,2,0,0,0,0,1,0
Vakhitov Algiz,RUS,0,1,0,0,1,0,0
Vakhitov Baysangur,RUS,2,0,0,2,0,0,0
Vaknin Eliran,RUS,0,1,0,0,0,0,1
Val Maria Isabel,URU,0,1,0,0,0,0,1
Valadares Glauber,URU,0,1,0,0,1,0,0
Valadez Armando,URU,0,1,1,0,0,0,1
Valadez Joe,URU,1,1,0,0,0,1,0
Valamaa Juho,URU,3,2,0,1,2,2,0
Valancius Vaidas,LTU,0,4,0,0,0,0,3
Valavicius Egidijus,LTU,,,,,,6,5
Valda Marcus,LTU,0,1,0,0,1,0,0
Valderaz Jeremy,LTU,0,1,0,0,0,0,1
Valdez Adrian,LTU,0,1,0,0,1,0,0
Valdez Alex,LTU,0,1,0,0,0,0,1
Valdez Dino,LTU,0,1,0,0,0,0,1
Valdez Eric,USA,3,2,0,1,0,0,1
Valdez Genaro,MEX,,,,7,1,3,0
Valdez Gerald,MEX,0,1,0,0,0,0,0
Valdez Jorge,MEX,0,2,0,0,1,0,0
Valdez Mike,MEX,0,2,0,0,0,0,2
Valdez Oscar,MEX,0,1,0,0,0,0,0
Valdez Ralph,MEX,0,1,0,0,0,0,1
Valdez Romeo,MEX,0,0,0,0,0,0,0
Valdivia Leo,USA,1,1,0,1,0,0,0
Vale Bart,USA,0,1,0,0,1,0,0
Vale Jonathan,USA,0,1,0,0,1,0,0
Valel Jerin,USA,,,,,,,
Valencia Charlie,USA,,,,1,3,5,3
Valencia Jay,USA,0,2,0,0,0,0,2
Valencia Joe,USA,,,,,,,
Valentay Thiago,USA,0,0,0,0,0,0,0
Valente David Alex,BRA,,,,8,1,1,1
Valente Tony,BRA,0,1,0,0,0,0,1
Valente Alves Renato,BRA,7,5,0,1,2,4,0
Valentic Mario,CRO,0,1,0,0,1,0,0
Valentim Luiz,CRO,0,1,0,0,1,0,0
Valentin Luca,CRO,1,0,0,0,0,0,0
Valentin Robert,SUI,0,2,0,0,1,0,0
Valentino Jleana,SUI,0,1,0,0,0,0,1
Valentinov Georgi,BUL,1,2,0,0,1,0,1
Valenzuela Alexander,PER,0,1,2,0,0,0,0
Valenzuela Armando,PER,0,1,0,0,0,0,1
Valenzuela Hector,MEX,0,2,0,0,0,0,1
Valenzuela Victor,MEX,0,4,0,0,2,0,1
Valera Manny,MEX,0,1,0,0,1,0,0
Valera Marcel,MEX,,,,,,,
Valeri Carlos,MEX,0,1,0,0,1,0,0
Valerio Mark Gregory,MEX,0,1,0,0,1,0,0
Vales Joel,MEX,0,1,0,0,0,0,1
Valette Randy,MEX,0,1,0,0,1,0,0
Valiev Orkhan,MEX,0,1,0,0,1,0,0
Valiev Timur,RUS,,,,5,0,2,0
Valimaki Danny,CAN,1,0,0,0,0,1,0
Valimaki Victor,CAN,,,,6,8,7,1
Valiukevicius Nerijus,CAN,1,0,0,1,0,0,0
Valivakhin Alexey,CAN,0,2,0,0,1,0,1
Valladerez Andrew,CAN,1,5,0,0,0,1,3
Valle Jason,USA,0,2,0,0,1,0,1
Valle Jorge,COL,0,1,0,0,0,0,0
Valle Tiani,USA,0,3,0,0,0,0,3
Vallee Jonathan,CAN,1,3,0,0,2,0,1
Vallee Patrick,FRA,,,,4,2,6,3
Vallejo Abraham,FRA,0,1,0,0,0,0,1
Vallejo Gonzalo,FRA,0,0,1,0,0,0,0
Vallie-Flagg Isaac,USA,,,,5,0,5,3
Vallotton Caleb,USA,1,2,0,0,0,0,1
Valtonen Toni,USA,3,6,0,0,1,0,2
Valujev Nijat,GER,0,1,0,0,1,0,0
Valuri Jon,GER,0,1,0,0,0,0,0
Valverde Miguel,ESP,0,3,0,0,0,0,3
Van Arsdale Mike,USA,8,5,0,1,1,6,4
Van Artsdalen Brylan,USA,1,3,0,0,0,1,3
van Asselt Dennis,USA,0,1,0,0,0,0,1
van Aswegen JJ,RSA,0,1,0,0,1,0,0
van Bemmelen Jimmy,RSA,0,1,0,0,0,0,1
van Bergen Danny,RSA,2,2,0,0,0,1,1
Van Beusekom Brian,USA,0,1,0,0,0,0,1
Van Buren Brianna,USA,9,3,0,2,0,3,0
Van Buren Matt,USA,6,5,0,2,4,1,1
van Buuren Twan,NED,0,2,0,0,1,0,0
van Camp A.J.,NED,0,1,0,0,1,0,0
van Clief Ron,NED,0,1,0,0,0,0,1
Van Damme Kleber,NED,0,1,0,0,0,0,1
Van Dams Lloyd,NED,0,1,0,0,1,0,0
Van De Creek Gregg,NED,0,1,0,0,0,0,1
van de Haar Tarif,NED,0,1,0,0,0,0,0
Van de Poll Saul,NED,0,1,0,0,0,0,1
Van Den Heuvel Kenny,NED,0,1,0,0,1,0,0
Van den Hooven Dina,NED,0,1,0,0,1,0,0
van den Steen Erwin,HOL,0,1,0,0,0,0,1
Van Der Merwe Rhodie,HOL,0,1,0,0,1,0,0
Van der Veen Dave,HOL,0,1,0,0,1,0,0
van der Ven Candied,HOL,0,1,0,0,1,0,0
Van der Wearden Sjors,HOL,0,1,0,0,1,0,0
Van Der Wel Nadia,HOL,0,3,0,0,1,0,2
Van Dijck Christophe,BEL,2,5,0,1,3,0,0
Van Duin Jo,BEL,0,1,0,0,1,0,0
van Esdonk Rob,HOL,0,1,0,0,0,0,1
Van Geystelen Bert,HOL,0,3,0,0,1,0,2
van Heerden Danie,HOL,0,2,0,0,0,0,1
van Helvoirt Duane,NED,0,3,0,0,0,0,0
Van Horn Jimmy,USA,0,5,0,0,3,0,2
van Houtum Megan,USA,0,1,0,0,1,0,0
van Hoven Brian,USA,2,4,0,0,1,1,1
Van Hoy Gale,USA,,,,,,,
van Kooten Dylan,USA,0,1,0,0,0,0,1
van Kooten Ricardo,USA,0,1,0,0,1,0,0
van Koppen Bram,USA,0,1,0,0,0,0,1
Van Krevelen Alex,USA,0,1,0,0,0,0,0
van Leeuwen Rob,USA,0,2,0,0,1,0,1
van Lessiel Frank,USA,0,1,0,0,0,0,1
Van Meer Mike,USA,0,7,0,0,3,0,4
