Full_Name,Country,Wins,Loses,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission,Champion
Justin Wren,United States,3,0,0,2,0,1.0,0.0,0
Linton Vassell,England,10,5,0,9,3,1.0,2.0,0
Tyrell Fortune,United States,11,2,0,7,0,4.0,2.0,0
Steve Mowry,United States,10,0,0,9,0,1.0,0.0,0
Kirill Sidelnikov,Russia,2,1,0,0,0,2.0,0.0,0
Shawn Teed,United States,0,1,0,0,0,0.0,0.0,0
Said Sowma,Suriname,2,1,0,0,0,2.0,0.0,0
Rakim Cleveland,United States,0,1,0,0,0,0.0,0.0,0
Valentin Moldavsky,Russia,6,0,0,3,0,3.0,0.0,0
Vitaly Minakov,Russia,6,2,0,0,0,6.0,2.0,0
Cheick Kongo,France,13,3,0,6,0,7.0,3.0,0
Sergei Kharitonov,Russia,3,3,0,0,2,3.0,1.0,0
Timothy Johnson,United States,3,4,0,2,3,1.0,1.0,0
Jake Hager,United States,3,0,0,0,0,3.0,0.0,0
Marcelo Golm,Brazil,1,0,0,0,0,0.0,0.0,0
Gokhan Saricam,Turkey,2,1,0,0,0,2.0,0.0,0
Fedor Emelianenko,Russia,4,2,0,2,1,2.0,1.0,0
Davion Franklin,United States,4,0,0,1,0,3.0,0.0,0
Ryan Bader,United States,6,2,0,2,0,4.0,2.0,0
Javy Ayala,United States,6,5,0,5,2,1.0,3.0,0
Melvin Manhoef,Netherlands,4,4,0,2,1,2.0,3.0,0
Phil Davis,United States,10,3,0,2,2,8.0,1.0,0
Vadim Nemkov,Russia,7,0,0,6,0,1.0,0.0,0
Lyoto Machida,Brazil,2,3,0,1,1,1.0,2.0,0
Anthony Johnson,United States,1,0,0,0,0,0.0,0.0,0
Lee Chadwick,England,3,2,0,1,1,2.0,1.0,0
Yannick Bahati,England,1,2,0,0,1,0.0,1.0,0
Arunas Andriuskevicus,Lithuania,1,1,0,0,0,0.0,0.0,0
Luke Trainer,England,1,0,0,0,0,0.0,0.0,0
Jonathan Wilson,United States,0,1,0,0,0,0.0,0.0,0
Christian Edwards,United States,5,1,0,3,0,2.0,0.0,0
Karl Albrektsson,Sweden,2,1,0,1,0,1.0,0.0,0
Grant Neal,United States,5,1,0,2,0,3.0,0.0,0
Julius Anglickas,Lithuania,3,1,0,2,0,1.0,0.0,0
Alex Polizzi,United States,3,1,0,1,0,2.0,0.0,0
Corey Anderson,United States,3,0,0,1,0,2.0,0.0,0
Sullivan Cauley,United States,2,0,0,0,0,2.0,0.0,0
Luke Trainer,England,2,0,0,1,0,1.0,0.0,0
Dovletdzhan Yagshimuradov,Turkmenistan,0,2,0,0,0,0.0,2.0,0
Jose Augusto,Brazil,1,1,0,0,0,0.0,0.0,0
Ben Parrish,United States,1,0,0,0,0,0.0,0.0,0
Yoel Romero,Cuba,0,1,0,0,0,0.0,0.0,0
John Salter,United States,8,2,0,5,0,3.0,2.0,0
Mike Shipman,England,5,2,0,0,1,5.0,1.0,0
Ed Ruth,United States,8,3,0,0,1,8.0,2.0,0
Anatoly Tokov,Russia,6,0,0,2,0,4.0,0.0,0
Lorenz Larkin,United States,5,2,0,0,1,5.0,1.0,0
Romero Cotton,United States,5,0,0,3,0,2.0,0.0,0
Gegard Mousasi,Netherlands,6,1,0,3,0,3.0,0.0,0
Costello van Steenis,Netherlands,5,1,0,0,0,5.0,0.0,0
Charlie Ward,Republic of Ireland,6,1,0,3,0,3.0,0.0,0
Joseph Creer,United States,2,2,0,1,1,1.0,1.0,0
Norbert Novenyi Jr,Hungary,4,0,0,3,0,1.0,0.0,0
Hracho Darpinyan,Armenia,0,1,0,0,0,0.0,0.0,0
Fabian Edwards,England,5,2,0,1,0,4.0,2.0,0
Austin Vanderford,United States,5,0,0,0,0,5.0,0.0,0
Johnny Eblen,United States,6,0,0,4,0,2.0,0.0,0
Jordan Newman,United States,3,0,0,0,0,3.0,0.0,0
Dalton Rosta,United States,5,0,0,3,0,2.0,0.0,0
Andrew Kapel,United States,2,1,0,1,0,1.0,0.0,0
Ty Gwerder,United States,1,3,0,0,0,0.0,3.0,0
Daniel Madrid,United States,1,1,0,0,0,0.0,0.0,0
Khalid Murtazaliev,Russia,1,1,0,0,0,0.0,0.0,0
Fábio Aguiar,Brazil,1,1,0,0,0,0.0,0.0,0
Gregory Milliard,Aruba,1,3,0,0,1,0.0,2.0,0
Travis Davis,United States,0,1,0,0,0,0.0,0.0,0
Duane Johnson,United States,1,0,0,0,0,0.0,0.0,0
Anthony Adams,United States,1,0,0,0,0,0.0,0.0,0
Sharaf Davlatmurodov,Tajikistan,0,1,0,0,0,0.0,0.0,0
Collin Huckbody,United States,0,1,0,0,0,0.0,0.0,0
Douglas Lima,Brazil,14,6,0,2,4,12.0,2.0,0
Michael Page,England,16,1,0,10,0,6.0,0.0,0
Paul Daley,England,9,5,0,5,4,4.0,1.0,0
Andrey Koreshkov,Russia,14,4,0,3,1,11.0,3.0,0
Derek Anderson,United States,8,4,0,4,3,4.0,1.0,0
Johnny Cisneros,United States,3,6,0,2,2,1.0,4.0,0
Neiman Gracie,Brazil,9,2,0,0,0,9.0,2.0,0
Joey Davis,United States,8,0,0,6,0,2.0,0.0,0
Logan Storley,United States,7,1,0,5,0,2.0,0.0,0
Dillon Danis,United States,2,0,0,0,0,2.0,0.0,0
Yaroslav Amosov,Ukraine,7,0,0,0,0,7.0,0.0,0
Robson Gracie Jr,Brazil,3,1,0,2,0,1.0,0.0,0
Ashley Reece,England,2,1,0,0,0,2.0,0.0,0
Erick Silva,Brazil,0,2,0,0,1,0.0,1.0,0
Abraham Vaesau,United States,3,1,0,2,0,1.0,0.0,0
Raymond Daniels,United States,3,0,0,1,0,2.0,0.0,0
Nicolò Solli,Italy,3,1,0,1,0,2.0,0.0,0
Oliver Enkamp,Sweden,3,1,0,2,0,1.0,0.0,0
Sabah Homasi,United States,4,4,0,1,3,3.0,1.0,0
Stefano Paternò,Italy,1,1,0,0,0,0.0,0.0,0
Jason Jackson,Jamaica,6,1,0,1,0,5.0,0.0,0
Kyle Crutchmer,United States,4,1,0,0,0,4.0,0.0,0
Grachik Bozinyan,Armenia,1,2,0,0,1,0.0,1.0,0
Lewis Long,Wales,3,1,0,0,0,3.0,0.0,0
Mark Lemminger,United States,2,3,0,0,2,2.0,1.0,0
Jordan Mein,Canada,0,1,0,0,0,0.0,0.0,0
Ross Houston,Scotland,0,1,0,0,0,0.0,0.0,0
Roman Faraldo,United States,3,0,0,0,0,3.0,0.0,0
Jaleel Willis,United States,2,1,0,1,0,1.0,0.0,0
Vinicius de Jesus,Brazil,3,3,0,1,2,2.0,1.0,0
Shamil Nikaev,Russia,1,0,0,0,0,0.0,0.0,0
Maycon Mendonça,Brazil,0,1,0,0,0,0.0,0.0,0
Levan Chokheli,Georgia (country),1,1,0,0,0,0.0,0.0,0
Dante Schiro,United States,0,1,0,0,0,0.0,0.0,0
Mukhamed Berkhamov,Russia,1,0,0,0,0,0.0,0.0,0
Ethan Hughes,United States,1,0,0,0,0,0.0,0.0,0
Saad Awad,United States,12,10,0,7,2,5.0,8.0,0
Georgi Karakhanyan,United States,9,10,0,5,4,4.0,6.0,0
Patricky Pitbull,Brazil,15,8,0,1,3,14.0,5.0,0
Goiti Yamauchi,Brazil,12,4,0,7,3,5.0,1.0,0
Brent Primus,United States,9,2,0,3,1,6.0,1.0,0
Adam Piccolotti,United States,8,4,0,5,0,3.0,4.0,0
Daniele Scatizzi,Italy,3,1,0,0,0,3.0,0.0,0
Benson Henderson,United States,5,6,0,4,2,1.0,4.0,0
Alfie Davis,England,5,1,0,1,0,4.0,0.0,0
Manny Muro,United States,2,1,0,1,0,1.0,0.0,0
Mandel Nallo,Canada,3,1,0,1,0,2.0,0.0,0
Jake Smith,United States,1,2,0,0,1,0.0,1.0,0
Charlie Leary,England,3,2,0,0,1,3.0,1.0,0
Aviv Gozali,Israel,6,0,0,2,0,4.0,0.0,0
Nainoa Dung,United States,3,2,0,1,0,2.0,2.0,0
Peter Queally,Republic of Ireland,2,2,0,1,0,1.0,2.0,0
Vladimir Tokov,Russia,2,1,0,1,0,1.0,0.0,0
