Full_Name,Country,Wins,Loses,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission,Champion
Iaquinta Al,USA,0.0,0.0,0.0,7.0,1.0,1.0,3.0,0
Iaquinta Guido,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Iba Conrad,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Ibarra David,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Ibba Alessio,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Iberico David,PER,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Iberico Ivan,PER,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Iboyan Radik,PER,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0
Ibragimkhalilov Elkhan,PER,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Ibragimov Bakhodir,PER,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Ibragimov Dzhamil,PER,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Ibragimov Gadjimurat,RUS,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Ibragimov Ibragim,RUS,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0
Ibragimov Kamalchan,RUS,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Ibragimov Khadis,RUS,8.0,4.0,0.0,2.0,1.0,3.0,1.0,0
Ibragimov Kurban,RUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Ibragimov Magomed,RUS,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Ibragimov Ruslan,RUS,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Ibragimova Daria,RUS,9.0,2.0,0.0,1.0,1.0,7.0,1.0,0
Ibrahim Ahmad,RUS,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0
Ibrahim Ali,RUS,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Ibrahim Ferid,RUS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ibrahim Hazem,RUS,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0
Ibrahim Ibrahim,RUS,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Ibrahim Karam,RUS,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Ibrahim Rioo,SWE,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
Ibraimov Ryskulbek,SWE,8.0,2.0,0.0,1.0,0.0,0.0,1.0,0
Ichelson Al,SWE,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Ichihara Minoki,SWE,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Ichii Mai,JPN,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0
Ichijo Takahiro,JPN,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Ichikawa Masayoshi,JPN,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Ichikawa Nana,JPN,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Ichikawa Naoto,JPN,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
Icoaraci Rodrigo,BRA,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0
Ida Satoru,BRA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Ide Thomas,BRA,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0
Ideta Yoshitaka,JPN,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Idilio Idilio,BRA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Idleburg Theo,BRA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Idrisov Magomed,RUS,8.0,2.0,0.0,3.0,1.0,0.0,1.0,0
Idrissi Abdelghani,FRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ielo Page Stephanie,FRA,5.0,3.0,0.0,1.0,0.0,0.0,1.0,0
Iezaki Akira,JPN,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Ifekandu Emeka,USA,5.0,3.0,0.0,3.0,1.0,0.0,1.0,0
Igarashi Ryosuke,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Ige Dan,USA,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0
Igenho Michel,BRA,0.0,4.0,0.0,0.0,3.0,0.0,1.0,0
Igiagbor Anestis,GRE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Iglesias Alan,GRE,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Iglesias Joel,GRE,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0
Igli Reda,GRE,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Ignacio Anthony,ARU,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Ignacz Melitta,ARU,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Ignaczak Mickael,ARU,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0
Ignatiev Evgeniy,ARU,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
Ignatov Sergey,ARU,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Ignatov Valeri,ARU,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0
Ignjatovic Marko,ARU,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Igor Maurice,ARU,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Igrc Marko,CRO,1.0,4.0,1.0,0.0,2.0,0.0,0.0,0
Iguchi Setsu,CRO,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0
Iha Fabiano,CRO,4.0,5.0,0.0,1.0,3.0,3.0,0.0,0
Ihiekwe Uche,CRO,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0
Iida Masayuki,JPN,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
