Full_Name,Country,Wins,Loses,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission
Andrei Arlovski,Belarus ,21,14,0,5,13,16.0,1.0
Ben Rothwell,United States,9,8,0,2,3,7.0,5.0
Alexander Gustafsson,Sweden ,10,7,0,8,0,2.0,7.0
Ovince Saint Preux,Haiti ,15,12,0,6,9,9.0,3.0
Stipe Miocic,United States,14,4,0,4,3,10.0,1.0
Ilir Latifi,Sweden ,8,6,0,3,2,5.0,4.0
Walt Harris,United States,6,8,0,5,6,1.0,2.0
Derrick Lewis,United States,17,6,0,3,1,14.0,5.0
Marcos Rogério de Lima,Brazil ,8,6,0,5,4,3.0,2.0
Alexey Oleynik,Russian Federation,8,7,0,0,2,8.0,5.0
Jake Collier,United States,5,50,0,3,33,2.0,17.0
Shamil Abdurakhimov,Russian Federation,5,4,0,2,1,3.0,3.0
Francis Ngannou,Cameroon ,12,2,0,4,0,8.0,2.0
Jarjis Danho,Syria ,1,1,0,0,0,0.0,0.0
Curtis Blaydes,United States,10,3,0,2,2,8.0,1.0
Marcin Tybura,Poland ,9,6,0,5,0,4.0,6.0
Chase Sherman,United States,3,7,0,0,3,3.0,4.0
Alexander Volkov,Russian Federation,8,3,0,6,1,2.0,2.0
Tai Tuivasa,Australia ,7,3,0,5,0,2.0,3.0
Blagoy Ivanov,Bulgaria ,2,3,0,1,0,1.0,3.0
Augusto Sakai,Brazil ,4,3,0,0,0,4.0,3.0
Sergei Pavlovich,Russian Federation,2,1,0,1,0,1.0,0.0
Juan Espino,Spain ,2,1,0,1,0,1.0,0.0
Greg Hardy,United States,4,4,0,2,3,2.0,1.0
Jairzinho Rozenstruik,Suriname ,6,3,0,1,1,5.0,2.0
Sergey Spivak,Moldova ,4,3,0,0,2,4.0,1.0
Ciryl Gane,France ,7,1,0,4,0,3.0,0.0
Justin Tafa,Australia ,2,3,0,0,0,2.0,3.0
Tanner Boser,Canada ,4,3,0,1,1,3.0,2.0
Don,United States,2,2,0,1,0,1.0,2.0
Philipe Lins,Brazil ,0,2,0,0,0,0.0,2.0
Rodrigo Nascimento,Brazil ,2,1,0,0,0,2.0,0.0
Carlos Felipe,Brazil ,3,2,0,2,0,1.0,2.0
Tom Aspinall,England ,4,0,0,1,0,3.0,0.0
Chris Daukaus,United States,4,1,0,1,0,3.0,0.0
Parker Porter,United States,2,1,0,1,0,1.0,0.0
Alexander Romanov,Moldova ,4,0,0,2,0,2.0,0.0
Alan Baudot,France ,0,2,0,0,1,0.0,1.0
Josh Parisian,United States,1,2,0,0,1,0.0,1.0
Jared Vanderaa,United States,1,2,0,0,0,0.0,2.0
Harry Hunsucker,United States,0,2,0,0,1,0.0,1.0
Chris Barnett,United States,1,1,0,0,0,0.0,0.0
Ed Herman,United States,13,12,0,1,11,12.0,1.0
Maurício Rua,Brazil ,11,10,0,9,6,2.0,4.0
Luke Rockhold,United States,9,4,0,4,3,5.0,1.0
Jon Jones,United States,20,1,0,17,0,3.0,0.0
Dustin Jacoby,United States,4,2,0,0,1,4.0,1.0
Glover Teixeira,Brazil ,16,5,0,12,4,4.0,1.0
Thiago Santos,Brazil ,14,8,0,9,4,5.0,4.0
Nikita Krylov,Ukraine ,8,6,0,5,0,3.0,6.0
Jan Błachowicz,Poland ,11,6,0,2,0,9.0,6.0
Anthony Smith,United States,13,8,0,5,6,8.0,2.0
Ion Cuțelaba,Moldova ,5,5,0,0,3,5.0,2.0
Khalil Rountree,United States,5,5,0,0,4,5.0,1.0
Devin Clark,United States,6,6,0,3,2,3.0,4.0
Marvin Vettori,Italy ,8,3,0,7,2,1.0,1.0
Tyson Pedro,Australia ,3,3,0,1,0,2.0,3.0
Paul Craig,Scotland ,7,4,0,3,1,4.0,3.0
Volkan Oezdemir,Switzerland ,5,5,0,1,2,4.0,3.0
Paulo Costa,Brazil ,5,2,0,0,0,5.0,2.0
Dominick Reyes,United States,6,3,0,5,1,1.0,2.0
Aleksandar Rakić,Austria ,6,1,0,0,0,6.0,0.0
Michał Oleksiejczuk,Poland ,4,2,0,3,1,1.0,1.0
Marcin Prachnio,Poland ,2,3,0,0,0,2.0,3.0
Magomed Ankalaev,Russian Federation,7,1,0,4,0,3.0,0.0
Ryan Spann,United States,5,2,0,2,1,3.0,1.0
Johnny Walker,Brazil ,4,3,0,3,0,1.0,3.0
Jimmy Crute,Australia ,4,3,0,0,1,4.0,2.0
Alonzo Menifield,United States,4,3,0,1,2,3.0,1.0
Nicolae Negumereanu,Romania ,2,1,0,0,0,2.0,0.0
Kennedy Nzechukwu,Nigeria ,3,2,0,2,0,1.0,2.0
Da Un Jung,South Korea,4,0,0,0,0,4.0,0.0
Shamil Gamzatov,Russian Federation,1,1,0,0,0,0.0,0.0
Aleksa Camur,United States,1,2,0,0,1,0.0,1.0
Jamahal Hill,United States,3,1,0,2,0,1.0,0.0
Ike Villanueva,United States,1,4,0,0,2,0.0,2.0
Jiří Procházka,the Czech,2,0,0,1,0,1.0,0.0
Maxim Grishin,Russian Federation,1,2,0,0,0,0.0,2.0
Danilo Marques,Brazil ,2,1,0,0,0,2.0,0.0
William Knight,United States,3,1,0,1,0,2.0,0.0
Tafon Nchukwi,Cameroon ,2,1,0,0,0,2.0,0.0
Carlos Ulberg,New Zealand,0,1,0,0,0,0.0,0.0
Fabio Cherant,United States,0,2,0,0,1,0.0,1.0
Robbie Lawler,United States,15,11,0,11,1,4.0,10.0
Nick Diaz,United States,13,7,0,9,5,4.0,2.0
Brad Tavares,United States,14,6,0,5,0,9.0,6.0
Chris Weidman,United States,11,6,0,0,4,11.0,2.0
Derek Brunson,United States,17,6,0,9,4,8.0,2.0
Robert Whittaker,Australia ,14,3,0,3,1,11.0,2.0
Uriah Hall,Jamaica ,10,8,0,2,5,8.0,3.0
Kelvin Gastelum,United States,11,8,0,5,7,6.0,1.0
Zak Cummings,United States,9,4,0,0,2,9.0,2.0
Krzysztof Jotko,Poland ,10,5,0,5,1,5.0,4.0
Sean Strickland,United States,11,3,0,2,0,9.0,3.0
Sam Alvey,United States,10,11,0,9,9,1.0,2.0
Jared Cannonier,United States,7,5,0,1,0,6.0,5.0
Darren Till,England ,6,4,0,5,0,1.0,4.0
