Full_Name,Country,Wins,Loses,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission,Champion
Andrei Arlovski,BLR,21.0,14.0,0.0,8.0,12.0,13.0,2.0,0
Ben Rothwell,USA,9.0,8.0,0.0,6.0,0.0,3.0,8.0,0
Alexander Gustafsson,SWE,10.0,7.0,0.0,0.0,4.0,10.0,3.0,0
Ovince Saint Preux,HAI,15.0,12.0,0.0,5.0,1.0,10.0,11.0,0
Stipe Miocic,USA,14.0,4.0,0.0,8.0,0.0,6.0,4.0,1
Ilir Latifi,SWE,8.0,6.0,0.0,6.0,1.0,2.0,5.0,0
Walt Harris,USA,6.0,8.0,0.0,5.0,5.0,1.0,3.0,0
Derrick Lewis,USA,17.0,6.0,0.0,1.0,2.0,16.0,4.0,0
Marcos Rogério de Lima,BRA,8.0,6.0,0.0,1.0,1.0,7.0,5.0,0
Alexey Oleynik,RUS,8.0,7.0,0.0,5.0,6.0,3.0,1.0,0
Jake Collier,USA,5.0,50.0,0.0,3.0,3.0,2.0,47.0,0
Shamil Abdurakhimov,RUS,5.0,4.0,0.0,1.0,0.0,4.0,4.0,0
Francis Ngannou,CAM,12.0,2.0,0.0,1.0,0.0,11.0,2.0,1
Jarjis Danho,SYR,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Curtis Blaydes,USA,10.0,3.0,0.0,2.0,2.0,8.0,1.0,0
Marcin Tybura,POL,9.0,6.0,0.0,7.0,5.0,2.0,1.0,0
Chase Sherman,USA,3.0,7.0,0.0,0.0,5.0,3.0,2.0,0
Alexander Volkov,RUS,8.0,3.0,0.0,2.0,1.0,6.0,2.0,1
Tai Tuivasa,AUS,7.0,3.0,0.0,3.0,2.0,4.0,1.0,0
Blagoy Ivanov,BUL,2.0,3.0,0.0,0.0,1.0,2.0,2.0,0
Augusto Sakai,BRA,4.0,3.0,0.0,3.0,1.0,1.0,2.0,0
Sergei Pavlovich,RUS,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0
Juan Espino,ESP,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0
Greg Hardy,USA,4.0,4.0,0.0,1.0,2.0,3.0,2.0,0
