Full_Name,Country,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission
Ha Hong Yoon,SKO,0.0,0.0,0.0,0.0,1.0
Haag Chaz,USA,0.0,0.0,1.0,0.0,0.0
Haagsma David,USA,0.0,0.0,0.0,0.0,2.0
Haak Jason,USA,0.0,0.0,1.0,0.0,0.0
Haas Jay,USA,0.0,0.0,0.0,0.0,6.0
Haas Jenifer,USA,0.0,0.0,0.0,0.0,1.0
Haba Justyna,POL,0.0,0.0,0.0,0.0,0.0
Habib Fadi,POL,0.0,0.0,1.0,0.0,0.0
Hackert Mike,POL,0.0,1.0,1.0,0.0,0.0
Hackett Chase,POL,0.0,1.0,1.0,0.0,0.0
Hackett Chelsea,AUS,1.0,1.0,1.0,0.0,0.0
Hackleman Jr. John,AUS,0.0,0.0,0.0,0.0,1.0
Hacklou Kristian,AUS,0.0,0.0,0.0,0.0,0.0
Hackmann Charles,AUS,0.0,0.0,1.0,1.0,0.0
Hackney Kalvin,USA,0.0,9.0,2.0,4.0,1.0
Hackney Keith,USA,0.0,1.0,0.0,1.0,2.0
Hadbi Tahar,ALG,0.0,0.0,0.0,0.0,0.0
Haddad James,ALG,0.0,0.0,0.0,0.0,0.0
Haddad Jeff Emil,ALG,0.0,0.0,0.0,0.0,0.0
Haddaoui Anissa,ALG,0.0,0.0,0.0,0.0,0.0
Haddock Tom,ALG,0.0,0.0,0.0,0.0,2.0
Haddou Soufian Haj,ALG,0.0,0.0,0.0,1.0,1.0
Haden Dayona,ALG,0.0,0.0,0.0,0.0,0.0
Hadi Hadi,ALG,0.0,0.0,1.0,0.0,0.0
Hadin Iraj,ALG,0.0,0.0,3.0,0.0,1.0
Hadjar Nordine,ALG,0.0,0.0,1.0,0.0,0.0
Hadji Cris,ALG,0.0,0.0,0.0,0.0,1.0
Hadley Jake,ENG,0.0,2.0,0.0,4.0,0.0
Hadley Justin,ENG,0.0,0.0,0.0,0.0,0.0
Hadley Troy,ENG,0.0,0.0,1.0,0.0,0.0
Hadraoui Zied,ENG,0.0,0.0,0.0,0.0,1.0
Hadribeaj Adrian,USA,0.0,0.0,1.0,0.0,1.0
Hadsel Steve,USA,0.0,1.0,0.0,0.0,0.0
Hadzic Adnan,USA,0.0,0.0,0.0,0.0,1.0
Hadzic Alden,USA,0.0,0.0,0.0,0.0,1.0
Hadzovic Damir,BIH,0.0,7.0,1.0,3.0,1.0
Haecker Paule,BIH,0.0,0.0,1.0,0.0,0.0
Haesecke Joel,BIH,0.0,0.0,1.0,0.0,0.0
Hafez Bassil,BIH,1.0,0.0,0.0,0.0,0.0
Hafizovic Amira,BIH,0.0,0.0,0.0,0.0,0.0
Haga Celine,BIH,0.0,0.0,3.0,1.0,0.0
Hagar Jim,BIH,0.0,0.0,0.0,0.0,1.0
Hagen Dave,BIH,0.0,0.0,0.0,0.0,0.0
Hager Jake,USA,0.0,0.0,0.0,2.0,0.0
Hagerty William,USA,0.0,0.0,0.0,0.0,0.0
Hagge Matt,USA,0.0,3.0,1.0,3.0,4.0
Haggerty Chris,USA,0.0,0.0,1.0,0.0,0.0
Haggstrom David,USA,0.0,0.0,0.0,0.0,0.0
Haghi Shahram,USA,0.0,0.0,1.0,0.0,0.0
Hagiwara Kotaro,USA,0.0,0.0,0.0,0.0,0.0
Hague Tim,CAN,0.0,0.0,0.0,4.0,0.0
Hahn Andy,CAN,0.0,0.0,0.0,0.0,0.0
Hai Dai Shaung,CAN,1.0,0.0,0.0,0.0,0.0
Hai Xiaolong,CAN,0.0,0.0,0.0,0.0,0.0
Haidar Muhamad,CAN,0.0,0.0,1.0,0.0,0.0
Haigh Andy,CAN,0.0,0.0,0.0,0.0,0.0
Haijcek Wayne,CAN,0.0,0.0,0.0,0.0,1.0
Hailey Ben,CAN,0.0,0.0,0.0,0.0,0.0
Haines Thomas,CAN,0.0,0.0,0.0,0.0,0.0
Haire Mark,CAN,0.0,0.0,1.0,0.0,0.0
Hajdini Arben,SLO,0.0,0.0,1.0,0.0,0.0
Hajeh Yazan,USA,0.0,2.0,1.0,0.0,0.0
Hajicek Butch,USA,0.0,0.0,1.0,0.0,0.0
Hajicek Wayne,USA,0.0,0.0,0.0,0.0,1.0
Hajrovic Jusuf,USA,0.0,0.0,2.0,0.0,0.0
Hajtalowicz Krzysztof,USA,0.0,0.0,0.0,0.0,1.0
Hajzer Daniel,HUN,0.0,0.0,0.0,0.0,1.0
Hakimov Anzor,HUN,0.0,0.0,1.0,0.0,0.0
Halasz Tibor,HUN,0.0,0.0,1.0,0.0,0.0
Hale Chris,HUN,0.0,0.0,0.0,0.0,1.0
Hale Mitchell,HUN,0.0,0.0,1.0,0.0,0.0
Hale Richard,USA,0.0,0.0,0.0,8.0,0.0
Hale Robert,USA,0.0,1.0,1.0,0.0,0.0
Hale Stoney,USA,0.0,0.0,0.0,0.0,0.0
Hales Cindy,USA,0.0,0.0,1.0,1.0,1.0
Hales Gareth,USA,0.0,0.0,1.0,0.0,0.0
Hales Mike,USA,0.0,0.0,0.0,0.0,0.0
Haley Kemmyelle,USA,0.0,2.0,5.0,5.0,1.0
Haley Kevin,USA,0.0,2.0,3.0,2.0,3.0
Haley Sean,USA,0.0,0.0,0.0,0.0,1.0
Halferty Darby,USA,0.0,0.0,1.0,0.0,0.0
Halianis Apostolis,USA,0.0,0.0,0.0,0.0,0.0
Halilov Ibragim,USA,0.0,0.0,1.0,0.0,0.0
Halimi Cazim,DEN,0.0,0.0,0.0,0.0,1.0
Halkias Alexander,DEN,0.0,0.0,0.0,0.0,1.0
Halkosaari Markus,FIN,0.0,0.0,2.0,0.0,0.0
Hall Aaron,FIN,0.0,1.0,0.0,1.0,1.0
Hall Andre,USA,0.0,0.0,1.0,0.0,1.0
Hall Brian,USA,0.0,4.0,2.0,3.0,0.0
Hall Clifford,USA,0.0,1.0,0.0,1.0,2.0
Hall Denis,USA,0.0,0.0,1.0,0.0,0.0
Hall James,USA,0.0,0.0,3.0,0.0,1.0
Hall Jay,USA,0.0,0.0,1.0,0.0,0.0
Hall Jeferson,BRA,0.0,0.0,0.0,0.0,1.0
Hall John,BRA,0.0,0.0,1.0,0.0,1.0
Hall Jon-Taine,BRA,0.0,0.0,0.0,0.0,0.0
Hall Josh,BRA,0.0,0.0,0.0,1.0,0.0
Hall Mark,BRA,0.0,3.0,1.0,1.0,2.0
Hall Neil,BRA,0.0,0.0,1.0,0.0,0.0
Hall Rhys,ENG,0.0,0.0,1.0,0.0,0.0
Hall Ryan,USA,0.0,2.0,1.0,3.0,0.0
Hall Sean,USA,0.0,0.0,1.0,0.0,0.0
Hall Skip,USA,0.0,0.0,0.0,0.0,1.0
Hall Tony,USA,0.0,0.0,0.0,0.0,1.0
Hall Uriah,JAM,0.0,0.0,0.0,1.0,0.0
Hall Vic,JAM,0.0,0.0,1.0,0.0,2.0
Hallam Matt,ENG,0.0,6.0,1.0,0.0,2.0
Haller Jared,USA,0.0,0.0,1.0,0.0,0.0
Halley Katie,USA,0.0,0.0,1.0,0.0,0.0
Hallford Joshua,USA,0.0,0.0,1.0,0.0,0.0
Halliday Jaryd,USA,0.0,0.0,0.0,0.0,0.0
Halliday Sam,ENG,0.0,0.0,0.0,0.0,3.0
Hallinan Karina,ENG,0.0,0.0,0.0,1.0,1.0
Hallman Dennis,USA,0.0,5.0,1.0,0.0,0.0
Hallmann Piotr,POL,0.0,7.0,3.0,7.0,0.0
Hallock Steve,POL,0.0,1.0,1.0,0.0,0.0
Halme Tony,POL,0.0,0.0,0.0,0.0,1.0
Halmi Viktor,HUN,0.0,0.0,1.0,0.0,0.0
Halo Carlos,HUN,0.0,0.0,0.0,0.0,1.0
Halonen Jussi,FIN,0.0,0.0,1.0,0.0,1.0
Halsey Brandon,USA,0.0,3.0,4.0,4.0,1.0
Halstead Ray,USA,0.0,0.0,0.0,0.0,1.0
Haltom Mike,USA,0.0,0.0,0.0,0.0,1.0
Halton Mike,USA,0.0,0.0,0.0,0.0,1.0
Haluk Ozzy,USA,0.0,1.0,1.0,0.0,0.0
Halverson Brandon,USA,0.0,0.0,0.0,0.0,1.0
Halverson Jessica,USA,0.0,0.0,1.0,0.0,0.0
Halverson John,USA,0.0,0.0,1.0,0.0,0.0
Halverson Travis,USA,0.0,0.0,0.0,0.0,1.0
Ham Seo Hee,KOR,0.0,4.0,1.0,3.0,2.0
Hamada Fukuko,KOR,0.0,0.0,0.0,0.0,0.0
Hamada Glenn,KOR,0.0,0.0,0.0,0.0,0.0
Hamada Junpei,KOR,0.0,0.0,2.0,0.0,2.0
Hamagishi Masayuki,KOR,1.0,0.0,2.0,0.0,0.0
Hamaji Yasutaka,KOR,0.0,0.0,0.0,0.0,0.0
