Full_Name,Country,Wins,Loses,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission
Iacob Gabriela,,0,1,0,0,1,0,0
Iancu Claudio,,0,1,0,0,0,0,1
Iannone Mike,,0,1,0,0,1,0,0
Iantoc Alexandru,,0,1,0,0,0,0,1
Iaquinta Al,USA,,,,7,1,1,3
Iaquinta Guido,USA,0,1,0,0,0,0,1
Iba Conrad,USA,0,1,0,0,0,0,1
Ibarra David,USA,0,1,0,0,1,0,0
Ibba Alessio,USA,0,1,0,0,0,0,1
Iberico David,PER,1,0,0,0,0,0,0
Iberico Ivan,PER,1,1,0,0,0,0,0
Iboyan Radik,PER,0,3,0,0,2,0,1
Ibragimkhalilov Elkhan,PER,0,1,0,0,0,0,1
Ibragimov Bakhodir,PER,0,1,0,0,1,0,0
Ibragimov Dzhamil,PER,0,1,0,0,0,0,1
Ibragimov Gadjimurat,RUS,0,1,0,0,1,0,0
Ibragimov Ibragim,RUS,2,1,0,1,1,1,0
Ibragimov Kamalchan,RUS,0,1,0,0,0,0,1
Ibragimov Khadis,RUS,8,4,0,2,1,3,1
Ibragimov Kurban,RUS,0,1,0,0,0,0,0
Ibragimov Magomed,RUS,0,1,0,0,0,0,1
Ibragimov Ruslan,RUS,0,1,0,0,0,0,1
Ibragimova Daria,RUS,9,2,0,1,1,7,1
Ibrahim Ahmad,RUS,0,3,0,0,1,0,2
Ibrahim Ali,RUS,0,1,0,0,0,0,1
Ibrahim Ferid,RUS,1,0,0,0,0,0,0
Ibrahim Hazem,RUS,0,2,0,0,2,0,0
Ibrahim Ibrahim,RUS,0,1,0,0,1,0,0
Ibrahim Karam,RUS,0,1,0,0,1,0,0
Ibrahim Rioo,SWE,1,0,0,0,0,1,0
Ibraimov Ryskulbek,SWE,8,2,0,1,0,0,1
Ichelson Al,SWE,0,1,0,0,1,0,0
Ichihara Minoki,SWE,0,1,0,0,0,0,1
Ichii Mai,JPN,0,2,0,0,0,0,0
Ichijo Takahiro,JPN,0,1,0,0,1,0,0
Ichikawa Masayoshi,JPN,0,1,0,0,0,0,1
Ichikawa Nana,JPN,0,1,0,0,0,0,1
Ichikawa Naoto,JPN,1,0,0,0,0,1,0
Icoaraci Rodrigo,BRA,0,2,0,0,2,0,0
Ida Satoru,BRA,0,1,0,0,0,0,0
Ide Thomas,BRA,0,2,0,0,0,0,1
Ideta Yoshitaka,JPN,0,1,0,0,1,0,0
Idilio Idilio,BRA,0,1,0,0,0,0,1
Idleburg Theo,BRA,0,1,0,0,1,0,0
Idrisov Magomed,RUS,8,2,0,3,1,0,1
Idrissi Abdelghani,FRA,1,0,0,0,0,0,0
Ielo Page Stephanie,FRA,5,3,0,1,0,0,1
Iezaki Akira,JPN,0,1,0,0,1,0,0
Ifekandu Emeka,USA,5,3,0,3,1,0,1
Igarashi Ryosuke,USA,0,1,0,0,1,0,0
Ige Dan,USA,,,,4,0,5,0
Igenho Michel,BRA,0,4,0,0,3,0,1
Igiagbor Anestis,GRE,0,1,0,0,0,0,0
Iglesias Alan,GRE,0,1,0,0,0,0,1
Iglesias Joel,GRE,0,2,0,0,2,0,0
Igli Reda,GRE,0,1,0,0,1,0,0
Ignacio Anthony,ARU,0,1,0,0,1,0,0
Ignacz Melitta,ARU,0,1,0,0,1,0,0
Ignaczak Mickael,ARU,0,2,0,0,1,0,1
Ignatiev Evgeniy,ARU,0,1,1,0,0,0,0
Ignatov Sergey,ARU,0,1,0,0,0,0,1
Ignatov Valeri,ARU,0,2,0,0,1,0,0
Ignjatovic Marko,ARU,0,1,0,0,0,0,1
Igor Maurice,ARU,0,1,0,0,1,0,0
Igrc Marko,CRO,1,4,1,0,2,0,0
Iguchi Setsu,CRO,1,2,0,0,2,0,0
Iha Fabiano,CRO,4,5,0,1,3,3,0
Ihiekwe Uche,CRO,0,2,0,0,1,0,1
Iida Masayuki,JPN,0,1,0,0,0,0,1
Iida Takahito,JPN,0,2,0,0,0,0,1
Iijima Shigeki,JPN,0,1,0,0,1,0,0
Iijima Takayuki,JPN,9,6,0,2,2,0,2
Iino Tateo,JPN,0,1,0,0,0,0,1
Iio Keichi,JPN,0,1,0,0,1,0,0
Ijima Hiroaki,JPN,0,2,0,0,1,0,0
Ikan Jaouad,JPN,0,1,0,0,0,0,1
Ikebunna Obinwa,JPN,0,1,0,0,1,0,0
Ikeda Senzo,JPN,,,,3,2,2,0
Ikeda Yoshinori,JPN,0,1,0,0,0,0,1
Ikemoto Seichi,JPN,2,7,0,0,1,1,2
Ikenishi Yusuke,JPN,0,1,0,0,1,0,0
Ikoma Junji,JPN,0,4,0,0,0,0,0
Il Sang,JPN,0,0,1,0,0,0,0
Ilaev Marat,RUS,0,1,0,0,0,0,1
Ileiwi Ali,RUS,0,1,0,0,1,0,0
Iles Rhys,RUS,0,1,0,0,1,0,0
Ilgin Ulas,RUS,0,2,0,0,0,0,2
Ilic Aleksandar,RUS,2,1,0,2,1,0,0
Ilic Dorian,CRO,0,1,0,0,0,0,1
Ilijas Jasmin,CRO,0,1,0,0,0,0,0
Illeman Kurt,CRO,1,1,0,1,1,0,0
Illescas Diego,MEX,0,1,0,0,1,0,0
Illiasov Alexander,MEX,0,1,0,0,1,0,0
Illoukhine Mikhail,MEX,1,1,0,0,0,0,1
Ilman Ilman,MEX,0,1,0,0,1,0,0
Ilmen Mika,MEX,0,1,0,0,1,0,0
Iloukhine Mikhail,MEX,0,1,0,0,1,0,0
Ilyasov Shamil,MEX,0,2,0,0,2,0,0
Ilyasov Sunnat,KAZ,0,1,0,0,1,0,0
Ilyin Yuri,KAZ,0,1,0,0,1,0,0
Ilyukhin Mikhail,RUS,1,2,0,0,1,0,0
Imada Toby,RUS,,,,1,1,6,2
Imadaev Zelim,RUS,8,3,0,8,1,0,1
Imaev Movsar,RUS,0,1,0,0,0,0,1
Imai Shunya,RUS,0,1,0,0,1,0,0
Imaizumi Kentaro,RUS,0,1,0,0,0,0,0
Imamura Yusuke,RUS,0,3,0,0,1,0,2
Iman Eric,RUS,0,1,0,0,1,0,0
Imanari Masakazu,JPN,,,,0,2,7,0
Imavov Daguir,JPN,0,1,1,0,0,0,1
Imavov Nassourdine,RUS,,,,5,0,4,1
Imazaki Seijo,RUS,0,1,0,0,1,0,0
Imbierski Tobiasz,POL,0,1,0,0,1,0,0
Imegiato Tarcisio,POL,0,1,0,0,0,0,1
Imes Brad,USA,0,4,0,0,1,0,1
Imes Brian,USA,0,3,0,0,2,0,0
Imhoff Adam,USA,0,3,0,0,2,0,1
Imhoff Ron,USA,0,3,0,0,2,0,1
Iminzhanov Tynchtykbek,KGZ,0,1,0,0,0,0,1
Imperador Alexandre,KGZ,0,1,0,0,1,0,0
Imperato Michael,KGZ,1,2,0,0,0,1,1
Imran Muhammad,KGZ,0,2,0,0,1,0,0
in 't Veld Olaf,KGZ,0,1,0,0,0,0,1
Inaba Kanako,KGZ,0,1,0,0,1,0,0
Inaba Satoshi,JPN,,,,5,0,1,3
Inaba Sumiko,USA,3,0,0,2,0,1,0
Inaba Tsutomu,USA,0,1,0,0,0,0,0
Inacio Jonathan,USA,0,1,0,0,0,0,0
Inagaki Katsuomi,USA,0,1,0,0,0,0,1
Inarritu Misael,MEX,1,2,0,0,2,1,0
Inatsu Wataru,MEX,1,1,0,0,0,1,1
Inchaustegui Yoandi,MEX,0,1,0,0,0,0,1
Indich Chris,AUS,5,3,0,2,2,2,0
Indio Guerreiro Claudio,BRA,0,1,0,0,0,0,1
Indra Ade,BRA,0,1,0,0,1,0,0
Ineichen Matt,USA,0,1,0,0,1,0,0
Infante Sost,USA,0,1,0,0,1,0,0
Ing Ricky,USA,0,1,0,0,0,0,0
Inge Mark,USA,1,0,0,0,0,0,0
Ingeneri Asha,USA,0,1,0,0,0,0,1
Inger Olof,USA,0,1,0,0,0,0,0
Ingle Larry,USA,,,,,,,
Ingram Chay,USA,0,2,0,0,0,0,1
Ingram Prentice,USA,0,1,0,0,1,0,0
Ingram Scott,USA,1,0,0,0,0,0,0
Ingram Steve,USA,0,2,0,0,1,0,1
Ingrassia Paul,USA,0,1,0,0,1,0,0
Inhofer Noah,USA,0,3,0,0,3,0,0
Inhoff James,USA,0,1,0,0,0,0,1
Iniguez Luis,USA,0,1,0,0,0,0,1
Iniong Gina,PHI,2,4,0,0,0,1,1
Inkeroinen Teemu,PHI,1,0,0,0,0,0,0
Inkumsah Paapa,PHI,0,1,0,0,0,0,0
Inman Chris,PHI,0,0,0,0,0,0,0
Inman Matt,ENG,,,,9,6,8,3
Inocencio Conde Reinaldo,CUB,0,1,0,0,1,0,0
Inocente Carlos,BRA,0,1,0,0,0,0,0
Inocente Guto,BRA,6,6,0,3,1,2,2
Inoue Atsushi,BRA,0,1,0,0,0,0,1
Inoue Egan,BRA,2,4,0,1,2,1,0
Inoue Enson,BRA,3,4,0,0,2,3,1
Inoue Hideru,BRA,0,0,1,0,0,0,0
Inoue Katsuya,BRA,5,4,2,1,3,0,1
Inoue Manabu,BRA,1,3,1,0,0,0,0
Inoue Masaya,BRA,0,1,0,0,0,0,0
Inoue Mizuki,JPN,,,,0,0,9,0
Inoue Naoki,JPN,,,,1,0,,
Inoue Seigo,JPN,0,2,0,0,1,0,0
Inoue Shunsuke,JPN,0,4,0,0,4,0,0
Inoue Takeshi,JPN,5,9,0,4,1,0,1
Inseto Henrique,JPN,0,1,0,0,1,0,0
Inskeep Brandon,JPN,0,1,0,0,0,0,0
Interiano George,JPN,0,2,0,0,0,0,0
Interiano Jorge,JPN,1,1,0,1,0,0,1
Inzhel Erkinbek,KAZ,0,1,0,0,0,0,1
Ioannou Costa,RSA,0,1,0,0,0,0,1
Iobidze Giga,RSA,0,1,0,0,1,0,0
Iodice Patrick,RSA,1,0,0,1,0,0,0
Ione Lavinia,RSA,0,1,0,0,1,0,0
Ionel Sergei,RSA,0,1,0,0,0,0,1
Ionov Alexandr,RUS,0,1,0,0,1,0,0
Iorio Phillipe,RUS,,,,,,,
Iovine Luca,ITA,,,,3,1,5,0
Irashanov Ismail,ITA,0,2,0,0,0,0,2
Irashanov Shamil,ITA,1,0,0,0,0,0,0
